cnpj_basico,cnpj_ordem,cnpj_dv,matriz_filial,nome_fantasia,situacao_cadastral,data_situacao_cadastral,motivo_situacao_cadastral,nome_cidade_no_exterior,pais,data_inicio_atividade,cnae_principal,cnae_secundario,logradouro_tipo,logradouro_nome,logradouro_numero,logradouro_complemento,logradouro_bairro,logradouro_cep,logradouro_uf,logradouro_cod_municipio,ddd1,telefone1,ddd2,telefone2,ddd_fax,fax,email,situacao_especial,data_situacao_especial
18174641,0001,28,1,,02,20130218,00,,,20130218,6810202,"6810201,4110700,6810203,6463800",RUA,BARAO DE JUNDIAI,96,ANDAR 1                   CONJ  1,LAPA,05073010,SP,7107,11,20614343,11,32860351,11,20614343,maria@ocpr.com.br,,
56312846,0001,11,1,,08,20081231,71,,,19860902,2093200,,AVENIDA,JABAQUARA,2958,FUNDOS,JABAQUARA,04046500,SP,7107,,,,,,,,,
03245884,0006,47,2,CALDE BIJOUTERIAS,02,20110314,00,,,20110314,4789001,,RUA,DOS PATRIOTAS,897,ARMZ  17,IPIRANGA,04207040,SP,7107,11,44368423,11,23842641,11,23852641,REIDOBRINCO@OUTLOOK.COM,,
46460508,0001,73,1,,02,20220519,00,,,20220519,5611203,"4721104,5611201,5611204,5611205,5612100,8211300,8230001,8230002",RUA,DAS FLECHAS,178,,VILA SANTA CATARINA,04364030,SP,7107,11,51054200,,,,,FRAN.CARVALHO@SCRITACONTABIL.COM.BR,,
29954345,0001,66,1,ANALU COZINHA GOURMET,04,20210324,63,,,20180316,5620104,1091102,AVENIDA,DOUTOR BENEDITO ESTEVAM DOS SANTOS,838,CASA,VILA MARIA ALTA,02136000,SP,7107,11,49451780,,,,,DANIELEDEL_GAUDIO@HOTMAIL.COM,,
27953245,0001,90,1,OPEN HOUSE ASSESSORIA E OBRAS,02,20211005,00,,,20170612,4744099,"4330405,4330404,4330499,4330403,4321500,4399103",RUA,JOSE FRANCISCO DE MORAIS,206,,JARDIM COLONIAL,04821150,SP,7107,11,94209078,,,,,openhouseobras@gmail.com,,
56880453,0001,04,1,,04,20181023,63,,,19861215,4322302,,RUA,MOSSORO,46,SLJ,VILA NOVA,03288040,SP,7107,11,20240336,11,20240336,11,20240336,francisco@feoscontabilidade.com.br,,
12342359,0001,26,1,INSTITUTO PRADO REABILITACAO INTEGRADA,02,20100723,00,,,20100723,8650004,"4773300,8550302,8599604,8650003,8650005,8650006,8690901",RUA,PADRE LUCIANO,87,,JARDIM FRANCA,02337080,SP,7107,11,23693222,,,11,22126531,CONTATO@THERAPIESBRASIL.COM,,
38472301,0001,90,1,,08,20220530,01,,,20200915,8219999,,RUA,JOSE MARIA LISBOA,480,,JARDIM PAULISTA,01423000,SP,7107,11,99360208,,,,,RTEODOROPEDROSO@HOTMAIL.COM,,
31565844,0001,03,1,,02,20180920,00,,,20180920,9602501,4781400,AVENIDA,NOVE DE JULHO,907,,BELA VISTA,01313000,SP,7107,11,26381220,,,,,,,
05408368,0001,07,1,,08,20150209,73,,,20021114,5611203,,RUA,FERNANDES VIEIRA,274,,BELENZINHO,03059023,SP,7107,,,,,,,,,
02189267,0001,02,1,NATURAL MILK,08,20200603,01,,,19971015,4631100,,RUA,SD.ANESIO ANTAO FERREIRA,03,,PRQ.NOVO MUNDO,02142000,SP,7107,,,,,,,,,
12966226,0001,20,1,,04,20181004,63,,,20071017,1822999,"5811500,7420001,5911199",RUA,CARAIBAS,1173,CONJ  09,PERDIZES,05020000,SP,7107,11,38249709,11,38249709,11,38929709,epaco@epaco.com.br,,
13573255,0001,95,1,,08,20180201,67,,,20110430,4712100,4781400,RUA,SAO FELIX DO PIAUI,263,,VILA CARMOSINA,08295030,SP,7107,11,20467361,,,,,arlindaraquel@hotmail.com,,
40561740,0001,11,1,LADO ALADO,08,20211217,01,,,20210126,4744099,"4742300,4744003,7319002,4713002,4757100,4752100,4781400,4751201,4759899,4755502,4753900,4789007,4744001",RUA,LUIGI BASSI,26,CASA 02,VILA IMPERIO,04407110,SP,7107,11,80865014,,,,,LADO.ALADOEMPRESARIAL@GMAIL.COM,,
64775232,0001,02,1,,08,20081231,71,,,19901220,2651500,"3250701,3321000",RUA,AURIVERDE,1286,,VILA CARIOCA,04222002,SP,7107,,,,,,,,,
41201341,0001,02,1,LEO MOTOS,02,20210312,00,,,20210312,4930201,,RUA,DOMINGOS JOSE SAPIENZA,453,,VILA AMALIA (ZONA NORTE),02618000,SP,7107,11,96618516,,,,,KPIAULINO@GMAIL.COM,,
20991136,0001,18,1,CONSORCIO BKDAHER - LIMEIRA,08,20210817,01,,,20140908,8219999,,AVENIDA,IPIRANGA,104,SLJ;,REPUBLICA,01046010,SP,7107,11,31541818,11,43283002,,,LICITA@BKCONSULTORIA.COM.BR,,
04658246,0001,06,1,MCAMPOS SERVICOS,02,20220212,00,,,20010831,8211300,8219999,RUA,VIEIRA PINTO,657,CASA  09,VILA ARICANDUVA,03504020,SP,7107,11,41130422,,,11,41130422,DARDA@DARDA.COM.BR,,
47049478,0001,70,1,,02,20220706,00,,,20220706,8621602,"4322303,4923002,7490104,7711000,7739002,7810800,8211300,8730199",RUA,CIRENE JORGE RIBEIRO,397,SALA  V 048384,VILA SALETE,03616040,SP,7107,11,77161368,,,,,OCIK@OCIK.COM.BR,,
62003488,0001,68,1,JANALU,08,19920124,01,,,19891129,4781400,,RUA,ALENCAR ARARIPE,447,,SACOMA,04253000,SP,7107,,,,,,,,,
10564519,0001,56,1,,02,20081204,00,,,20081204,4652400,"4321500,4651601,4673700",RUA,CONSELHEIRO NEBIAS,1470,LOJA  C,CAMPOS ELISEOS,01203002,SP,7107,11,32249955,,,11,32249867,ADM@MAGTRON.SP.COM,,
13173800,0001,56,1,,08,20180201,67,,,20110128,9602501,9602502,TRAVESSA,SOMOS TODOS IGUAIS,326,LOJA,JARDIM DA CONQUISTA (ZONA LESTE),08343000,SP,7107,11,89919754,,,,,,,
66757386,0001,99,1,VERES CONSTRUCOES,04,20210312,63,,,19910820,7810800,7830200,RUA,ENG FELIPE GUITON,193,,JARDIM DAS ROSAS,05892370,SP,7107,,,,,,,,,
06927754,0009,25,2,J.N.E TELECOMUNICACOES,08,20170113,01,,,20140313,4752100,"4649402,4651601,4619200,4753900,4651602",RUA,AURORA,205,,SANTA EFIGENIA,01209001,SP,7107,11,22130038,,,,,DAIANEADM@DEMARI.COM.BR,,
01323412,0001,25,1,BURI,04,20201103,63,,,19960716,6821802,"6822600,8111700",RUA,LIVREIRO SARAIVA,24,,PACAEMBU,01237000,SP,7107,,,,,,,,,
53634168,0001,15,1,,08,19851127,01,,,19840703,8888888,,RUA,CRISTIANOPOLIS,480,,VL PRUDENTE,03128030,SP,7107,,,,,,,,,
48242154,0001,16,1,RETTI CONSULTORIA,02,20221010,00,,,20221010,7020400,8211300,RUA,VICOSA DO CEARA,44,APT   22,VILA MASCOTE,04363090,SP,7107,11,85219626,,,,,ANDERSON.RETTI@GMAIL.COM,,
21895068,0001,56,1,,04,20210312,63,,,20150219,5611203,,RUA,OSCAR CINTRA GORDINHO,151,,LIBERDADE,01512010,SP,7107,11,66755602,,,,,martynha31@gmail.com,,
45648382,0001,00,1,MAESTRIA AGNES,02,20220314,00,,,20220314,8599699,,RUA,JOSE EDUARDO DE ALMEIDA,281,,JARDIM PREMIANO,08371710,SP,7107,11,27315464,,,,,EAGANESANTOS@GMAIL.COM,,
26829397,0001,12,1,TATIANA BRITTO,02,20170109,00,,,20170109,8712300,,RUA,FLOR DA NOITE,60,BLOCO D;APT 13,JARDIM PEDRA BRANCA,08490740,SP,7107,11,22826505,,,,,TATIANABRITTO1@HOTMAIL.COM,,
08639232,0001,04,1,KIKA GAMES,08,20150209,73,,,20070116,4757100,,AVENIDA,CELSO DOS SANTOS,256,,VILA CONSTANCIA,04658240,SP,7107,11,55652216,11,56790614,,,almepe@almepe.com.br,,
67854596,0001,68,1,PAPELUCHO COMERCIO DE PAPEIS E PAPELAO,08,20081231,71,,,19920512,4647801,,RUA,NOVA OLINDA,26,A,VILA MUNHOZ,02213010,SP,7107,,,,,,,,,
30144819,0001,93,1,D.LUNNA,08,20180418,01,,,20180409,8712300,,RUA,SIMAO ALVES DE ALMEIDA,112b,,JARDIM MODELO,05867490,SP,7107,11,36283681,,,,,Ichigo_dgsf@hotmail.com,,
05992980,0002,50,2,,08,20161220,01,,,20110711,4530703,,RUA,MARIA FETTE,300,      292,PARQUE SAO LUCAS,03263000,SP,7107,11,29111599,,,,,jkcontabil@jkcontabil.com.br,,
29184722,0001,25,1,DG MANUTENCAO E SERVICOS,08,20211028,01,,,20171130,4330404,4399103,RUA,SUCUNDURI,95,,CONJUNTO RESIDENCIAL JARDIM CANAA,05268140,SP,7107,11,36447603,,,,,rh@contabilvitoria.com.br,,
47922000,0001,02,1,CASA DE MOVEIS SAO VICENTE DE PAULA,08,20071114,54,,,19760901,4754701,,RUA,DA MOOCA,3722,,ALTO DA MOOCA,03165002,SP,7107,,,,,,,,,
49237297,0001,00,1,L.S LOUNGE,02,20230118,00,,,20230118,4723700,4729601,AVENIDA,GABRIELA MISTRAL - DE 641 AO FIM - LADO IMPAR,685,,PENHA DE FRANCA,03701011,SP,7107,11,96644589,,,,,LUCASSIQUEIRA24101997@GMAIL.COM,,
12520016,0001,04,1,,02,20100819,00,,,20100819,6810201,"6810202,6822600",RUA,MARCONI,94,CONJ  1005,CENTRO,01047000,SP,7107,11,35152999,11,35152951,11,35152952,abertura@caciquecontabil.com.br,,
48103352,0001,07,1,,08,20081231,71,,,19760806,8299799,"6399200,7410299,7490105,7490199,8219999,8299703,8299707",RUA,CONSELHEIRO CRISPINIANO,97,CONJUNTO 18 SALA 01,CENTRO,01037001,SP,7107,11,2571445,,,11,2571445,,,
00802229,0001,40,1,AQUARIMAR,02,20051103,00,,,19950821,4789099,,RUA,MARQUES DE ITU,407,,VL BUARQUE,01223001,SP,7107,,,,,,,,,
35149287,0001,09,1,CANTINHO DA PIZZA,02,20220202,00,,,20191010,5611203,"5620102,4712100,1091101",RUA,GINO MONALDI,6,,JARDIM VARGINHA,04857055,SP,7107,11,55272939,,,,,norberto.1953@hotmail.com,,
52220340,0001,21,1,,08,20081231,71,,,19830124,4330402,,,LG SETE DE SETEMBRO,52,10 ANDAR SALA 1017,LIBERDADE,01501903,SP,7107,,,,,,,,,
51168615,0001,62,1,PARTALL,08,20081231,71,,,19790402,8888888,,RUA,RODOLFO MIRANDA,279,,BOM RETIRO,01121010,SP,7107,,,,,,,,,
58156084,0011,09,2,,02,20200312,00,,,20200312,8219999,,AVENIDA,BRIG LUIS ANTONIO,2367,SALA  1906,JARDIM PAULISTA,01401900,SP,7107,13,32114003,,,,,CONTATO@MYINDAIA.COM.BR,,
42706932,0001,02,1,FLASH CELL,02,20210714,00,,,20210714,4751201,"4752100,4321500,9512600",AVENIDA,BANDEIRA DOS CATAGUAZES,346,CONJ 1,JARDIM CAMARGO NOVO,08141550,SP,7107,11,89927701,,,,,JUJU.NANINHA.MANU17@GMAIL.COM,,
40627208,0001,50,1,,02,20210129,00,,,20210129,6462000,,RUA,BANDEIRA PAULISTA,726,CONJ  163                 SALA  E,ITAIM BIBI,04532002,SP,7107,11,25285463,,,11,25285463,ADM@FRANZIMCONSULTORIA.COM.BR,,
43966787,0001,53,1,,08,19821008,01,,,19800718,8888888,,ESTRADA,D JOAO NERY,64,,GUAIANAZES,01001010,SP,7107,,,,,,,,,
40663181,0001,50,1,MARX,02,20210201,00,,,20210201,8712300,,AVENIDA,PATENTE,193,BLOCO A5;APT 12,JARDIM PATENTE,04243000,SP,7107,9,70690213,,,,,PAULA.DRAMARX@GMAIL.COM,,
00507348,0001,70,1,B M W SUCOS,04,20181010,63,,,19950321,4729601,,AVENIDA,PARANAGUA,254,SALA 04,ERM MATARAZZO,03806010,SP,7107,,,,,,,,,
51568277,0001,56,1,,08,19911031,02,,,19790716,7729201,,RUA,VICENTE FERREIRA LEITE,261,,VILA SIQUEIRA,02723000,SP,7107,,,,,,,,,
43560023,0001,63,1,MARIA OLIVEIRA,02,20210917,00,,,20210917,3212400,4789001,RUA,RIO GRANDE,205,APT 43,VILA MARIANA,04018000,SP,7107,11,50823601,,,,,1818.ZUZA@GMAIL.COM,,
11776954,0001,07,1,,04,20221128,63,,,20100406,9602501,,AVENIDA,ADELINA ABRANCHES,233,,JARDIM MORAIS PRADO,04855430,SP,7107,11,80338115,,,,,eddy_k98@hotmail.com,,
34038099,0001,32,1,RIO 40 GRAUS,02,20190626,00,,,20190626,1412601,4781400,RUA,JOAO TEODORO,1331,TERREOLOJA 84,BRAS,03009000,SP,7107,11,22945461,,,,,RODGUI@IG.COM.BR,,
19431247,0001,90,1,,02,20131218,00,,,20131218,4669999,"4689399,4781400,4789001,4789008,9521500",RUA,ALVARENGA PEIXOTO,483,,VILA ANASTACIO,05095010,SP,7107,11,37514422,,,11,37514422,NFE@JWCOSTA.COM.BR,,
28938669,0001,48,1,,04,20210324,63,,,20171026,4930201,5212500,RUA,ODASSI NASSALI,169,,VILA BELA VISTA (ZONA NORTE),02617100,SP,7107,11,99126122,,,,,nazzalimultimarcas@hotmail.com,,
65416729,0001,99,1,,08,20081231,71,,,19910121,8130300,,RUA,COMENDADOR A DOS SANTOS,SN,BLOCO N CASA 218,JD SAO J TADEU,05861260,SP,7107,,,,,,,,,
50652270,0001,55,1,DOMINGOS CARLOS DA SILVA AMBULANTE,08,20081231,71,,,19790215,4774100,,RUA,SEIS,29,A,PEDREIRA,01001010,SP,7107,,,,,,,,,
11880841,0001,57,1,ANALITICO CONSULTORIA,02,20100407,00,,,20100407,7020400,,ALAMEDA,FRANCA,1581,APT   63,JARDIM PAULISTA,01422001,SP,7107,11,29141406,,,11,29141406,oestrella@uol.com.br,,
33956199,0001,85,1,Royal Brigid,04,20221128,63,,,20190617,4789001,,RUA,BOM JESUS DA PENHA,393,,VILA MINERVA,08441330,SP,7107,11,25578342,,,,,ruthsagozzo@gmail.com,,
13570152,0001,71,1,,08,20180201,67,,,20110429,4781400,,TRAVESSA,DOMENICO FORONI,11A,,ERMELINO MATARAZZO,03813002,SP,7107,11,25442664,,,,,wil_sss@hotmail.com,,
26185524,0001,98,1,SISTRA BISTRO,08,20180523,01,,,20160914,5611201,5611203,RUA,JOSE DA SILVA RIBEIRO,461,,VILA ANDRADE,05726130,SP,7107,11,58419215,,,,,CONSULTORIA@CONTABILMARIA.COM.BR,,
23345934,0001,60,1,D'NELLOS,08,20221121,01,,,20150924,5620104,"4723700,4729699,4772500,5611201",RUA,DOM VILARES,524,,VILA DAS MERCES,04160001,SP,7107,11,81343729,,,,,RETHA.PRI@GMAIL.COM,,
42807124,0001,23,1,EDUARDO ENTREGAS RAPIDAS,02,20210721,00,,,20210721,5320202,,RUA,NOSSA SENHORA DAS DORES,566,,VILA FORMOSA,03367040,SP,7107,11,93815844,,,,,BORGESCOELHOEDUARDO92@GMAIL.COM,,
43318332,0001,21,1,MAD,08,20211228,01,,,20210827,8599604,,RUA,COTINGA,380A,,VILA NOVA CURUCA,08032500,SP,7107,11,25147912,,,,,DIASAMAISA@GMAIL.COM,,
71928543,0001,11,1,,08,20081231,71,,,19930730,8121400,8129000,AVENIDA,DR. VITAL BRASIL,536,SALA 04,BUTANTA,05503000,SP,7107,,,,,,,,,
49940372,0004,30,2,,08,20150209,73,,,19880606,5211701,,AVENIDA,PRESTES MAIA,241,26 ANDAR CJ 2612,SANTA IFIGENIA,01031902,SP,7107,,,,,,,,,
48111750,0001,67,1,BIRTH CORRETORA DE SEGUROS,02,20220928,00,,,20220928,7319002,,RUA,JOSE ANTONIO VALADARES,1070,CASA 2,VILA LIVIERO,04185021,SP,7107,11,30513132,,,,,BIRTHCORRETORA.CONTATO@GMAIL.COM,,
03079466,0001,12,1,,08,20081231,71,,,19990312,4530703,,AVENIDA,ROLAND GARROS,1464,,PQ EDU CHAVES,02235001,SP,7107,,,,,,,,,
50120666,0001,51,1,,08,19850628,01,,,19820505,8888888,,RUA,DA GLORIA,602,,LIBERDADE,01510000,SP,7107,,,,,,,,,
29738290,0001,57,1,SOBE O NIVEL,02,20221006,00,,,20180221,8230001,"5811500,4789099,8599605,9609299,4782201",RUA,DEDALION,474,APT 201;BLOCO C,JARDIM ADELFIORE,05223120,SP,7107,11,40235565,,,,,ANDREMATIASAGENDA@GMAIL.COM,,
05967663,0001,01,1,,08,20171003,01,,,20031003,8230001,,RUA,VIGARIO ALBERNAZ,738,APTO 121,VILA GUMERCINDO,04134021,SP,7107,011,32625042,,,011,32625042,rroyocontabil@terra.com.br,,
08707918,0001,87,1,,08,20190329,01,,,20070309,9521500,"8130300,3311200,4120400,4292801,4744005,9512600,7739099,3314717,4751201",AVENIDA,RIO DAS PEDRAS,1395,SALA  5,JARDIM ARICANDUVA,03453100,SP,7107,11,27259166,11,27259774,11,27259166,montezin@uol.com.br,,
14569936,0001,42,1,,08,20180201,67,,,20111104,4781400,"4782201,4789001",RUA,MISSAL,61,CASA 01,JARDIM EVA,08141092,SP,7107,11,94488618,,,,,gabrielatelesdeoliveira78@gmail.com,,
40940619,0001,09,1,KARIERA,02,20210222,00,,105,20210222,6204000,"6201501,6201502,6202300,6203100,6209100,6311900,6319400,7020400,7490104,8599603,8599604,8599699",AVENIDA,PAULISTA,1471,CONJ  511,BELA VISTA,01311927,SP,7107,11,45081313,,,,,FELIPERSB@GMAIL.COM,,
63908693,0001,35,1,,08,20040729,01,,,19900712,4729601,,RUA,FRANCISCO GARCIA,80,,VILA VERDE,08230560,SP,7107,,,,,,,,,
43480177,0001,45,1,,08,19950131,01,,,19721024,4642701,,RUA,SILVA TELES,278,,BRAS,08140010,SP,7107,,,,,,,,,
03467185,0001,37,1,,02,20030607,00,,,19991026,4782201,,AVENIDA,BRIGADEIRO FARIA LIMA,2355,LOJA 42,PINHEIROS,01452000,SP,7107,011,91427416,,,,,,,
47508411,0569,68,2,,08,20160822,01,,,20030417,4713004,,RUA,SILVA BUENO,2150,,IPIRANGA,04208002,SP,7107,,,,,,,,,
49354962,0001,38,1,BAR VALERIANO,08,20081231,71,,,19770816,5611203,,RUA,DOIS,18 A,,JD DIOMAR,04905010,SP,7107,,,,,,,,,
56719750,0001,72,1,,08,20081231,71,,,19861118,4771701,,RUA,TABAJARAS,482,,ALTO DA MOOCA,03121010,SP,7107,,,,,,,,,
45222760,0001,81,1,LEIDY COIFFER NAILS,02,20220209,00,,,20220209,9602501,,RUA,DOUTOR CELSO ALVES DE ARAUJO,89,CASA 2,JARDIM DAS OLIVEIRAS,08122090,SP,7107,13,97584376,,,,,LEIDYSILVADOSSANTOS8@GMAIL.COM,,
27908829,0001,43,1,SAMUEL ARAUJO SILVA,04,20210312,63,,,20170606,4923001,,RUA,PIETRO CASELLA,208,,JARDIM SAO JOAO,05815055,SP,7107,11,58513047,,,,,SAMU_SILVA2007@HOTMAIL.COM,,
31047011,0001,50,1,PRO-SAUDE,02,20180727,00,,,20180727,4729699,8292000,RUA,PAULO NUNES FELIX,458,,PARQUE SAO RAFAEL,08320370,SP,7107,11,29190790,11,29626307,11,29190790,PRISCONTDP@UOL.COM.BR,,
47961987,0001,74,1,DIDI CAR,02,20220915,00,,,20220915,4520001,4530703,RUA,DUITAMA,03,,JARDIM SAO FRANCISCO(ZONA SUL),04918200,SP,7107,11,58580975,,,,,MAICORITTIELYUBER1@GMAIL.COM,,
05004573,0003,79,2,,04,20201103,63,,,20161219,8219999,,AVENIDA,BRIGADEIRO FARIA LIMA,1826,LOJA  6                   TERREO,JARDIM PAULISTANO,01451001,SP,7107,11,25076249,,,,,CONTABILIDADE2@NIVALDOCLETO.CNT.BR,,
12537303,0001,27,1,SUPERCLEAN37,08,20180201,67,,,20100916,4789005,"8122200,4322301,4789099,4321500,4772500",AVENIDA,GONCALVES DA COSTA,241,,JARDIM VILA CARRAO,08340520,SP,7107,11,80400229,,,,,supercleanprodutosdelimpeza@yahoo.com.br,,
33906774,0001,35,1,Danny Covello,08,20210513,01,,,20190612,4781400,7319002,RUA,VITO NICOLA FACCIOLLA,74,,VILA LIVIERO,04186160,SP,7107,11,23875993,,,,,danielle.covello@hotmail.com,,
30219395,0001,89,1,PET'X BOY,08,20201127,01,,,20180417,9609208,"4771704,4789004",RUA,DOUTOR JOSE DO AMARAL,115h,,JARDIM LISBOA,03675010,SP,7107,11,51483008,,,,,petxboy@gmail.com,,
10697438,0001,24,1,MACKTUB CONSULTORIA,02,20090313,00,,,20090313,8219999,"7020400,7490104",AVENIDA,GUSTAVO ADOLFO,2771,,VILA GUSTAVO,02209001,SP,7107,11,22011428,11,22011428,11,22011428,ECA.ATLANTICO@IG.COM.BR,,
31818992,0002,73,2,,02,20220216,00,,,20190311,4721103,5611201,RUA,CAPITAO MACEDO,248,LOJA  03,VILA CLEMENTINO,04021020,SP,7107,11,25361536,,,,,JDR142@HOTMAIL.COM,,
08961837,0001,09,1,IRMAOS MELO II,02,20070307,00,,,20070307,4530703,4520001,RUA,COSTA BARROS,32,,VILA ALPINA,03210000,SP,7107,11,69171616,11,69171616,11,69171616,muller-contabil@ig.com.br,,
27814962,0001,30,1,LOJAS VIVI,08,20200218,01,,,20170525,4757100,"4752100,4751201,4721102,4772500",RUA,GREGORIO ALLEGRI,295,BLOCO 3;APT 57,VILA DAS BELEZAS,05842070,SP,7107,11,29250364,,,,,VIVIANEMELLO_28@HOTMAIL.COM,,
59554279,0001,06,1,,08,19890104,01,,,19881011,4781400,,RUA,DR MARIO CARDIM,256,,VILA CLEMENTINO,08210040,SP,7107,,,,,,,,,
10423205,0001,33,1,,02,20081010,00,,,20081010,4782201,,RUA,TREZE DE MAIO,1947,ANDAR PARAISO             LOJA  438/441,BELA VISTA,01327001,SP,7107,11,32664210,,,,,MRCATPAULISTA@GMAIL.COM,,
10609609,0001,16,1,,04,20210226,63,,,20090122,4759899,9529199,RUA,ANTONIO GANDINI,428,,ITAQUERA,08215460,SP,7107,11,29447809,11,20792275,,,contabilidadeitaquera@bol.com.br,,
13934822,0001,91,1,MERCADAO DOS COSMETICOS,08,20180201,67,,,20110706,4772500,,RUA,TEIXEIRA MENDES,139,CASA 1,LIBERDADE,01517010,SP,7107,11,34612222,,,,,ccajuru@gmail.com,,
41182410,0001,88,1,LADYBUG,02,20210311,00,,,20210311,1821100,"5811500,5912099,5813100",RUA,METEORO,42,,CIDADE MONCOES,04563030,SP,7107,11,72053337,,,,,N_MAIA1993@HOTMAIL.COM,,
46199428,0001,06,1,,08,20081231,71,,,19740507,5611203,,AVENIDA,MENDES DA ROCHA,10,C,VL SABRINA,02227000,SP,7107,,,,,,,,,
